strategy,tf,trades,net_%,win_%,avg_win/avg_loss,profit_factor,max_dd_%,sharpe,expectancy_%,long_n,short_n,long_net_%,short_net_%
Vol-squeeze breakout,1m,9775,-92.01,28.12,2.47,0.96,92.19,-7.28,-0.0,4818,4957,-20.49,-12.54
High-vol fade,1m,3,-0.11,66.67,0.34,0.68,5.64,0.0,-0.28,2,1,-1.17,0.29
EMA 9/21 cross,5m,5067,-99.9,27.02,2.78,1.03,99.91,-9.14,0.01,2533,2534,-4.38,20.61
EMA 20/50 cross,5m,2229,-93.61,25.8,2.89,1.0,94.47,-3.58,0.0,1114,1115,-18.05,3.59
EMA 50/200 cross,5m,655,35.22,27.94,3.15,1.22,40.86,0.79,0.15,327,328,32.23,56.57
VWAP reclaim/reject,5m,2548,-76.8,32.65,1.94,0.94,79.25,-3.27,-0.02,1295,1253,-33.26,-3.21
"Supertrend 10,3",5m,2649,-99.99,31.22,2.05,0.93,99.99,-11.35,-0.03,1324,1325,-43.99,-29.69
"Supertrend 7,2",5m,4857,-100.0,33.64,1.98,1.0,100.0,-15.61,0.0,2428,2429,-19.06,4.23
"Supertrend 14,3",5m,2689,-99.99,31.46,2.02,0.93,99.99,-11.57,-0.03,1344,1345,-45.4,-31.39
Range breakout 20 (vol),5m,4025,-58.8,33.24,1.99,0.99,67.94,-1.23,-0.0,1935,2090,-14.63,-1.73
Range breakout 50 (vol),5m,2572,-25.46,33.2,2.05,1.02,46.02,-0.35,0.01,1278,1294,-11.63,22.0
Prev-day H/L breakout,5m,790,-16.49,35.44,1.98,1.09,47.84,-0.45,0.03,398,392,11.06,8.99
Opening-range breakout,5m,2214,-58.71,32.29,2.08,0.99,64.75,-2.05,-0.0,1101,1113,14.29,-19.94
RSI MR (rsi2),5m,9344,-99.17,42.24,1.37,1.0,99.27,-6.21,0.0,4510,4834,-22.79,21.93
RSI MR (rsi7),5m,6063,-99.52,41.65,1.37,0.98,99.54,-8.6,-0.01,3119,2944,-26.44,-8.02
RSI MR (rsi14),5m,2168,-86.92,43.22,1.35,1.03,88.84,-4.68,0.01,1124,1044,5.8,4.25
Bollinger reversal,5m,5362,-93.61,43.4,1.36,1.05,93.77,-4.56,0.01,2829,2533,-7.45,69.77
VWAP dev 1.5σ,5m,3874,-80.12,43.13,1.42,1.08,82.19,-3.28,0.02,1984,1890,36.34,28.31
VWAP dev 2.0σ,5m,3265,-89.31,42.79,1.39,1.04,89.52,-4.75,0.01,1664,1601,-2.32,29.23
Volume-spike continuation,5m,3313,-54.89,33.59,2.03,1.03,63.93,-1.3,0.01,1603,1710,-7.25,27.88
Volume-exhaustion reversal,5m,4,-3.56,25.0,1.46,0.49,4.43,-1.17,-0.33,1,3,-0.56,-0.76
ATR breakout (1×),5m,4046,-99.99,25.53,2.93,1.0,99.99,-13.17,0.0,2014,2032,-22.43,15.05
Vol-squeeze breakout,5m,1835,-65.34,28.39,2.38,0.94,66.09,-2.92,-0.01,849,986,-18.46,-6.05
High-vol fade,5m,7,8.44,71.43,1.44,3.61,4.39,0.94,0.9,5,2,5.49,0.74
EMA 9/21 cross,15m,1642,-98.81,26.61,2.84,1.03,98.9,-5.64,0.01,821,821,-10.83,13.89
EMA 20/50 cross,15m,698,-57.04,27.51,3.13,1.19,67.81,-0.86,0.12,349,349,26.63,47.33
EMA 50/200 cross,15m,213,-22.87,30.05,2.47,1.06,51.26,-0.07,0.08,107,106,-6.79,4.34
VWAP reclaim/reject,15m,1101,-76.12,31.79,1.99,0.93,80.86,-2.4,-0.04,572,529,-37.7,0.09
"Supertrend 10,3",15m,765,-98.2,35.82,2.04,1.14,98.24,-4.98,0.1,382,383,17.53,45.72
"Supertrend 7,2",15m,1455,-99.88,33.95,2.09,1.07,99.89,-8.3,0.04,727,728,6.86,34.38
"Supertrend 14,3",15m,773,-98.4,36.22,1.97,1.12,98.46,-5.14,0.08,386,387,12.4,41.32
Range breakout 20 (vol),15m,1236,-42.17,34.79,2.0,1.07,60.75,-0.67,0.03,599,637,2.38,31.77
Range breakout 50 (vol),15m,772,0.6,36.79,1.96,1.14,43.62,0.25,0.07,391,381,15.56,37.21
Prev-day H/L breakout,15m,481,-19.52,36.59,1.82,1.05,45.58,-0.38,0.03,244,237,-6.3,17.07
Opening-range breakout,15m,1075,-25.42,34.23,2.04,1.06,57.1,-0.32,0.03,543,532,2.82,23.99
RSI MR (rsi2),15m,3043,-90.75,43.51,1.33,1.02,92.71,-2.88,0.01,1467,1576,-21.77,46.97
